Crime_ID,FIR_No,Date,Time,Crime_Type,City,Area,Victim_Age,Victim_Gender,Weapon,Police_Station,Status
C0048,FIR202400048,2024-12-19,07:00,Assault,Rajahmundry,Innespeta,21.0,Male,Stick,Central PS,Solved
C0049,FIR202500049,2025-07-24,00:45,Assault,Guntur,Brodipet,67.0,Female,Stick,East PS,Pending
C0050,FIR202500050,2025-03-02,01:45,Assault,Vizianagaram,RTC Complex,36.0,Female,Stick,South PS,Solved
C0051,FIR202500051,2025-10-24,09:05,Assault,Kurnool,Budhawarapeta,42.0,Male,Stick,West PS,Pending
C0052,FIR202500052,2025-09-02,23:40,Murder,Kadapa,YV Street,30.0,Female,Gun,Central PS,Solved
C0053,FIR202500053,2025-03-13,15:20,Robbery,Ongole,Kurnool Road,59.0,Male,Knife,East PS,Solved
C0054,FIR202500054,2025-10-02,21:10,Assault,Ongole,Kurnool Road,67.0,Male,Stick,South PS,Solved
C0055,FIR202400055,2024-04-13,08:05,Theft,Visakhapatnam,Seethammadhara,22.0,Female,,Central PS,Pending
C0056,FIR202500056,2025-02-24,02:45,Assault,Visakhapatnam,Madhurawada,34.0,Male,Stick,West PS,Solved
C0057,FIR202500057,2025-11-04,09:35,Assault,Kakinada,Jagannaickpur,33.0,Male,Stick,Central PS,Solved
C0058,FIR202500058,2025-02-01,11:50,Cyber Crime,Vijayawada,Kanuru,29.0,Male,,East PS,Solved
C0059,FIR202400059,2024-01-05,13:10,Murder,Guntur,Brodipet,69.0,Male,Gun,North PS,Pending
C0060,FIR202400060,2024-11-08,02:00,Murder,Visakhapatnam,Dwaraka Nagar,25.0,Female,Gun,South PS,Solved
C0061,FIR202400061,2024-11-13,09:45,Cyber Crime,Ongole,Kurnool Road,53.0,Female,,Central PS,Solved
C0062,FIR202500062,2025-03-13,06:35,Assault,Kakinada,Ramanayyapeta,20.0,Female,Stick,Central PS,Solved
C0063,FIR202500063,2025-07-17,07:05,Robbery,Vizianagaram,RTC Complex,46.0,Male,Knife,East PS,Pending
C0064,FIR202400064,2024-08-09,02:35,Cyber Crime,Rajahmundry,Danavaipeta,20.0,Female,,Central PS,Solved
C0065,FIR202400065,2024-04-10,22:00,Theft,Visakhapatnam,Seethammadhara,44.0,Female,,West PS,Pending
C0066,FIR202500066,2025-10-20,21:30,Assault,Vizianagaram,RTC Complex,45.0,Male,Stick,Central PS,Solved
C0067,FIR202500067,2025-12-23,21:45,Robbery,Visakhapatnam,Gajuwaka,37.0,Female,Knife,West PS,Pending
C0068,FIR202400068,2024-07-07,17:40,Assault,Kakinada,Sarpavaram,60.0,Male,Stick,Central PS,Solved
C0069,FIR202500069,2025-04-09,20:15,Cyber Crime,Eluru,Ashok Nagar,58.0,Female,,Central PS,Pending
C0070,FIR202500070,2025-01-17,20:55,Assault,Eluru,Ashok Nagar,36.0,Female,Stick,North PS,Solved
C0071,FIR202500071,2025-08-22,03:35,Theft,Rajahmundry,Danavaipeta,69.0,Female,,East PS,Solved
C0072,FIR202400072,2024-08-25,18:30,Theft,Vizianagaram,RTC Complex,26.0,Male,,East PS,Solved
C0073,FIR202400073,2024-11-18,19:50,Cyber Crime,Nellore,Balaji Nagar,44.0,Female,,South PS,Pending
C0074,FIR202500074,2025-12-30,01:55,Robbery,Guntur,Brodipet,51.0,Male,Knife,South PS,Solved
C0075,FIR202500075,2025-12-02,21:30,Robbery,Visakhapatnam,Gajuwaka,65.0,Male,Knife,West PS,Solved
C0076,FIR202500076,2025-05-12,16:50,Cyber Crime,Vizianagaram,RTC Complex,18.0,Female,,North PS,Pending
C0077,FIR202400077,2024-08-18,02:30,Assault,Vizianagaram,RTC Complex,65.0,Female,Stick,East PS,Pending
C0078,FIR202500078,2025-03-02,22:05,Theft,Vizianagaram,RTC Complex,38.0,Female,,East PS,Solved
C0079,FIR202400079,2024-12-27,11:25,Theft,Hyderabad,Hitech City,67.0,Male,,West PS,Pending
C0080,FIR202500080,2025-11-12,07:00,Cyber Crime,Ongole,Kurnool Road,29.0,Male,,East PS,Solved
C0081,FIR202400081,2024-12-22,20:10,Murder,Tirupati,Alipiri,35.0,Female,Gun,West PS,Pending
C0082,FIR202400082,2024-02-18,03:40,Theft,Rajahmundry,Danavaipeta,26.0,Male,,West PS,Pending
C0083,FIR202500083,2025-12-22,15:05,Cyber Crime,Tirupati,Bairagipatteda,69.0,Male,,North PS,Pending
C0084,FIR202500084,2025-05-15,03:30,Robbery,Rajahmundry,Innespeta,22.0,Female,Knife,West PS,Pending
C0085,FIR202400085,2024-04-01,22:05,Theft,Guntur,Arundelpet,41.0,Male,,North PS,Solved
C0086,FIR202500086,2025-03-23,14:55,Theft,Tirupati,Bairagipatteda,20.0,Female,,Central PS,Solved
C0087,FIR202500087,2025-01-20,23:25,Assault,Kurnool,Nandyal Checkpost,41.0,Female,Stick,Central PS,Pending
C0088,FIR202400088,2024-01-28,14:30,Cyber Crime,Visakhapatnam,MVP Colony,50.0,Female,,Central PS,Solved
C0089,FIR202400089,2024-06-04,10:45,Assault,Rajahmundry,Innespeta,48.0,Female,Stick,North PS,Solved
C0090,FIR202400090,2024-07-31,10:15,Cyber Crime,Nellore,Magunta Layout,62.0,Female,,West PS,Solved
C0091,FIR202400091,2024-07-20,14:35,Assault,Eluru,Ashok Nagar,68.0,Female,Stick,East PS,Pending
C0092,FIR202500092,2025-03-22,23:20,Murder,Eluru,Ashok Nagar,23.0,Female,Gun,East PS,Solved
C0093,FIR202500093,2025-01-26,18:45,Cyber Crime,Kadapa,YV Street,57.0,Male,,North PS,Solved
C0094,FIR202500094,2025-06-05,14:50,Robbery,Ongole,Kurnool Road,57.0,Female,Knife,West PS,Solved
C0095,FIR202400095,2024-08-31,22:30,Assault,Visakhapatnam,Seethammadhara,69.0,Male,Stick,West PS,Pending
C0096,FIR202500096,2025-04-21,22:50,Cyber Crime,Vijayawada,Gunadala,26.0,Male,,South PS,Solved
C0097,FIR202500097,2025-03-01,04:10,Robbery,Eluru,Ashok Nagar,47.0,Female,Knife,West PS,Solved
C0098,FIR202400098,2024-10-30,06:45,Cyber Crime,Kadapa,YV Street,56.0,Male,,South PS,Solved
C0099,FIR202400099,2024-07-04,05:25,Cyber Crime,Nellore,Magunta Layout,57.0,Male,,South PS,Solved
C0100,FIR202400100,2024-12-21,06:05,Theft,Guntur,Brodipet,29.0,Female,,East PS,Solved
C0101,FIR202500101,2025-09-12,21:15,Theft,Kurnool,Budhawarapeta,59.0,Male,,East PS,Solved
C0102,FIR202400102,2024-06-23,14:10,Robbery,Vizianagaram,RTC Complex,55.0,Female,Knife,East PS,Solved
C0103,FIR202500103,2025-03-19,13:55,Cyber Crime,Nellore,Balaji Nagar,56.0,Male,,West PS,Solved
C0104,FIR202500104,2025-11-19,14:40,Robbery,Guntur,Arundelpet,27.0,Male,Knife,North PS,Solved
C0105,FIR202400105,2024-04-06,09:50,Robbery,Nellore,Magunta Layout,29.0,Male,Knife,East PS,Pending
C0106,FIR202500106,2025-09-27,13:55,Robbery,Kurnool,Budhawarapeta,22.0,Female,Knife,South PS,Pending
C0107,FIR202500107,2025-09-24,06:15,Assault,Guntur,Brodipet,18.0,Male,Stick,East PS,Pending
C0108,FIR202500108,2025-04-21,10:40,Murder,Vijayawada,Patamata,22.0,Female,Gun,West PS,Pending
C0109,FIR202500109,2025-10-14,00:10,Theft,Eluru,Ashok Nagar,34.0,Female,,North PS,Pending
C0110,FIR202400110,2024-04-29,22:35,Murder,Kadapa,YV Street,48.0,Female,Gun,South PS,Solved
C0111,FIR202400111,2024-09-30,18:40,Robbery,Rajahmundry,Innespeta,23.0,Male,Knife,Central PS,Pending
C0112,FIR202500112,2025-04-03,12:10,Assault,Kadapa,YV Street,29.0,Male,Stick,North PS,Pending
C0113,FIR202400113,2024-05-27,21:40,Robbery,Ongole,Kurnool Road,33.0,Female,Knife,South PS,Pending
C0114,FIR202500114,2025-01-10,12:40,Robbery,Kakinada,Jagannaickpur,62.0,Female,Knife,Central PS,Solved
C0115,FIR202500115,2025-09-04,07:10,Murder,Guntur,Lakshmipuram,56.0,Female,Gun,East PS,Pending
C0116,FIR202400116,2024-12-10,14:50,Theft,Vizianagaram,RTC Complex,21.0,Male,,Central PS,Pending
C0117,FIR202400117,2024-07-05,15:10,Robbery,Eluru,Ashok Nagar,60.0,Male,Knife,North PS,Solved
C0118,FIR202500118,2025-02-14,17:35,Robbery,Vizianagaram,RTC Complex,21.0,Female,Knife,West PS,Pending
C0119,FIR202400119,2024-05-18,02:15,Assault,Eluru,Ashok Nagar,65.0,Female,Stick,South PS,Solved
C0120,FIR202400120,2024-10-11,14:40,Assault,Visakhapatnam,Dwaraka Nagar,65.0,Female,Stick,West PS,Solved
C0121,FIR202500121,2025-04-20,13:15,Theft,Guntur,Brodipet,24.0,Female,,Central PS,Pending
C0122,FIR202400122,2024-01-21,22:05,Robbery,Guntur,Brodipet,22.0,Female,Knife,West PS,Pending
C0123,FIR202400123,2024-11-28,12:50,Assault,Vizianagaram,RTC Complex,59.0,Male,Stick,West PS,Solved
C0124,FIR202500124,2025-11-24,16:15,Robbery,Hyderabad,Hitech City,58.0,Female,Knife,South PS,Pending
C0125,FIR202500125,2025-02-04,10:10,Assault,Visakhapatnam,Seethammadhara,33.0,Male,Stick,Central PS,Pending
C0126,FIR202500126,2025-09-23,14:00,Robbery,Rajahmundry,Danavaipeta,63.0,Male,Knife,South PS,Solved
C0127,FIR202500127,2025-11-02,03:10,Cyber Crime,Tirupati,Bairagipatteda,58.0,Male,,South PS,Pending
C0128,FIR202400128,2024-07-26,18:25,Robbery,Nellore,Balaji Nagar,36.0,Female,Knife,West PS,Pending
C0129,FIR202400129,2024-06-11,14:35,Murder,Rajahmundry,Innespeta,51.0,Male,Gun,North PS,Solved
C0130,FIR202500130,2025-11-13,11:30,Murder,Ongole,Kurnool Road,61.0,Female,Gun,North PS,Solved
C0131,FIR202500131,2025-10-28,07:10,Assault,Hyderabad,Kukatpally,57.0,Male,Stick,South PS,Solved
C0132,FIR202500132,2025-06-10,12:30,Murder,Visakhapatnam,Seethammadhara,65.0,Male,Gun,Central PS,Solved
C0133,FIR202500133,2025-11-15,05:15,Cyber Crime,Ongole,Kurnool Road,21.0,Female,,South PS,Pending
C0134,FIR202500134,2025-02-10,17:05,Robbery,Vizianagaram,RTC Complex,52.0,Female,Knife,East PS,Solved
C0135,FIR202400135,2024-12-01,07:25,Cyber Crime,Tirupati,Alipiri,52.0,Male,,North PS,Pending
C0136,FIR202400136,2024-04-22,00:35,Assault,Eluru,Ashok Nagar,19.0,Male,Stick,East PS,Solved
C0137,FIR202400137,2024-05-15,10:50,Robbery,Ongole,Kurnool Road,30.0,Female,Knife,North PS,Solved
C0138,FIR202400138,2024-02-07,02:40,Robbery,Nellore,Magunta Layout,31.0,Female,Knife,South PS,Solved
C0139,FIR202500139,2025-05-05,18:50,Robbery,Ongole,Kurnool Road,57.0,Male,Knife,Central PS,Pending
C0140,FIR202500140,2025-11-06,23:25,Theft,Nellore,Magunta Layout,60.0,Male,,North PS,Pending
C0141,FIR202500141,2025-07-23,04:15,Cyber Crime,Kurnool,Budhawarapeta,32.0,Male,,North PS,Solved
C0142,FIR202400142,2024-04-07,07:15,Assault,Eluru,Ashok Nagar,18.0,Female,Stick,South PS,Pending
C0143,FIR202400143,2024-11-15,00:05,Theft,Guntur,Lakshmipuram,62.0,Female,,Central PS,Pending
C0144,FIR202500144,2025-04-22,19:15,Robbery,Rajahmundry,Innespeta,53.0,Female,Knife,East PS,Solved
C0145,FIR202400145,2024-04-20,03:35,Theft,Eluru,Ashok Nagar,43.0,Male,,West PS,Solved
C0146,FIR202400146,2024-12-21,23:10,Cyber Crime,Ongole,Kurnool Road,26.0,Male,,West PS,Pending
C0147,FIR202400147,2024-01-19,02:20,Assault,Vijayawada,Kanuru,50.0,Male,Stick,South PS,Pending
C0148,FIR202400148,2024-05-09,14:50,Murder,Rajahmundry,Danavaipeta,26.0,Female,Gun,West PS,Pending
C0149,FIR202400149,2024-06-22,06:15,Murder,Vizianagaram,RTC Complex,68.0,Female,Gun,South PS,Solved
C0150,FIR202500150,2025-04-01,12:15,Theft,Nellore,Magunta Layout,62.0,Female,,South PS,Pending
C0151,FIR202500151,2025-11-15,17:45,Cyber Crime,Eluru,Ashok Nagar,53.0,Male,,West PS,Solved
C0152,FIR202400152,2024-05-22,15:30,Murder,Vizianagaram,RTC Complex,26.0,Female,Gun,Central PS,Pending
C0153,FIR202400153,2024-03-28,03:45,Robbery,Eluru,Ashok Nagar,55.0,Female,Knife,South PS,Solved
C0154,FIR202400154,2024-10-29,02:15,Assault,Vizianagaram,RTC Complex,54.0,Male,Stick,West PS,Pending
C0155,FIR202400155,2024-09-25,07:20,Assault,Tirupati,Alipiri,47.0,Male,Stick,East PS,Solved
C0156,FIR202400156,2024-06-21,16:50,Robbery,Guntur,Lakshmipuram,37.0,Male,Knife,South PS,Solved
C0157,FIR202400157,2024-12-31,07:30,Assault,Vijayawada,Kanuru,64.0,Female,Stick,North PS,Solved
C0158,FIR202400158,2024-08-15,14:30,Assault,Kurnool,Budhawarapeta,28.0,Female,Stick,South PS,Pending
C0159,FIR202500159,2025-03-28,07:00,Theft,Ongole,Kurnool Road,20.0,Female,,South PS,Solved
C0160,FIR202400160,2024-07-17,14:10,Murder,Kadapa,YV Street,19.0,Male,Gun,Central PS,Solved
C0161,FIR202400161,2024-03-01,02:15,Robbery,Eluru,Ashok Nagar,47.0,Female,Knife,West PS,Pending
C0162,FIR202500162,2025-05-13,03:00,Robbery,Ongole,Kurnool Road,62.0,Female,Knife,North PS,Pending
C0163,FIR202500163,2025-05-31,18:00,Cyber Crime,Vizianagaram,RTC Complex,52.0,Male,,North PS,Solved
C0164,FIR202500164,2025-05-26,00:30,Assault,Eluru,Ashok Nagar,26.0,Female,Stick,West PS,Pending
C0165,FIR202400165,2024-05-25,03:15,Cyber Crime,Nellore,Balaji Nagar,69.0,Female,,South PS,Solved
C0166,FIR202400166,2024-07-27,09:35,Robbery,Rajahmundry,Danavaipeta,60.0,Female,Knife,Central PS,Pending
C0167,FIR202500167,2025-01-25,03:45,Murder,Guntur,Brodipet,53.0,Female,Gun,South PS,Solved
C0168,FIR202400168,2024-08-12,16:50,Robbery,Guntur,Brodipet,69.0,Male,Knife,North PS,Pending
C0169,FIR202500169,2025-11-23,05:45,Murder,Kakinada,Jagannaickpur,24.0,Male,Gun,South PS,Pending
C0170,FIR202400170,2024-01-15,10:50,Murder,Vizianagaram,RTC Complex,43.0,Female,Gun,West PS,Pending
C0171,FIR202500171,2025-05-21,12:10,Cyber Crime,Kakinada,Sarpavaram,65.0,Male,,Central PS,Pending
C0172,FIR202400172,2024-02-25,22:00,Theft,Rajahmundry,Danavaipeta,44.0,Male,,West PS,Solved
C0173,FIR202500173,2025-01-09,18:20,Robbery,Kakinada,Jagannaickpur,54.0,Male,Knife,South PS,Solved
C0174,FIR202400174,2024-11-04,09:20,Cyber Crime,Nellore,Magunta Layout,42.0,Male,,Central PS,Solved
C0175,FIR202400175,2024-09-22,02:40,Assault,Ongole,Kurnool Road,31.0,Male,Stick,West PS,Pending
C0176,FIR202400176,2024-10-17,08:25,Cyber Crime,Hyderabad,Kukatpally,52.0,Female,,South PS,Solved
C0177,FIR202500177,2025-08-14,14:30,Cyber Crime,Guntur,Brodipet,33.0,Male,,North PS,Pending
C0178,FIR202400178,2024-02-23,10:20,Murder,Anantapur,Sapthagiri Circle,51.0,Male,Gun,North PS,Pending
C0179,FIR202500179,2025-12-11,11:25,Robbery,Vizianagaram,RTC Complex,38.0,Female,Knife,West PS,Solved
C0180,FIR202400180,2024-11-30,08:15,Theft,Vizianagaram,RTC Complex,50.0,Female,,North PS,Pending
C0181,FIR202400181,2024-11-27,21:35,Assault,Ongole,Kurnool Road,66.0,Female,Stick,East PS,Pending
C0182,FIR202500182,2025-08-23,19:50,Murder,Nellore,Magunta Layout,24.0,Female,Gun,West PS,Solved
C0183,FIR202500183,2025-05-20,02:20,Cyber Crime,Kadapa,YV Street,36.0,Male,,Central PS,Solved
C0184,FIR202500184,2025-11-20,20:25,Murder,Rajahmundry,Danavaipeta,63.0,Male,Gun,North PS,Pending
C0185,FIR202500185,2025-11-13,20:30,Theft,Tirupati,Alipiri,21.0,Female,,North PS,Solved
C0186,FIR202400186,2024-06-12,05:00,Theft,Guntur,Lakshmipuram,59.0,Male,,West PS,Solved
C0187,FIR202400187,2024-02-07,17:55,Theft,Guntur,Arundelpet,70.0,Male,,East PS,Pending
C0188,FIR202400188,2024-02-18,04:30,Assault,Visakhapatnam,Madhurawada,33.0,Male,Stick,South PS,Solved
C0189,FIR202500189,2025-07-18,23:45,Cyber Crime,Vijayawada,Benz Circle,23.0,Female,,North PS,Pending
C0190,FIR202400190,2024-02-25,01:15,Cyber Crime,Tirupati,Bairagipatteda,22.0,Male,,Central PS,Pending
C0191,FIR202400191,2024-03-25,09:45,Robbery,Guntur,Lakshmipuram,21.0,Female,Knife,East PS,Pending
C0192,FIR202400192,2024-05-15,13:35,Murder,Kakinada,Ramanayyapeta,65.0,Male,Gun,Central PS,Pending
C0193,FIR202500193,2025-01-24,10:25,Assault,Kurnool,Budhawarapeta,26.0,Female,Stick,Central PS,Solved
C0194,FIR202500194,2025-04-22,16:20,Murder,Ongole,Kurnool Road,52.0,Female,Gun,South PS,Pending
C0195,FIR202400195,2024-02-01,05:30,Cyber Crime,Vijayawada,Gunadala,44.0,Female,,East PS,Pending
C0196,FIR202500196,2025-06-05,15:15,Assault,Eluru,Ashok Nagar,54.0,Female,Stick,South PS,Pending
C0197,FIR202400197,2024-08-31,06:05,Theft,Kakinada,Sarpavaram,31.0,Female,,West PS,Pending
C0198,FIR202500198,2025-04-03,10:00,Theft,Nellore,Magunta Layout,18.0,Female,,Central PS,Pending
C0199,FIR202400199,2024-11-30,05:20,Theft,Tirupati,Alipiri,58.0,Male,,Central PS,Solved
C0200,FIR202400200,2024-12-04,16:15,Cyber Crime,Vijayawada,Gunadala,57.0,Female,,East PS,Pending
C0201,FIR202400201,2024-10-26,08:10,Robbery,Kurnool,Budhawarapeta,66.0,Female,Knife,South PS,Solved
C0202,FIR202500202,2025-09-27,14:00,Theft,Vijayawada,Patamata,70.0,Male,,North PS,Pending
C0203,FIR202500203,2025-03-14,03:20,Cyber Crime,Vijayawada,Gunadala,21.0,Male,,West PS,Solved
C0204,FIR202500204,2025-01-17,11:45,Robbery,Rajahmundry,Innespeta,39.0,Female,Knife,West PS,Pending
C0205,FIR202400205,2024-01-19,13:20,Assault,Kurnool,Budhawarapeta,21.0,Male,Stick,South PS,Pending
C0206,FIR202500206,2025-01-21,04:10,Robbery,Rajahmundry,Innespeta,28.0,Female,Knife,South PS,Solved
C0207,FIR202500207,2025-07-23,17:50,Murder,Nellore,Balaji Nagar,51.0,Female,Gun,South PS,Pending
C0208,FIR202500208,2025-01-18,21:00,Cyber Crime,Guntur,Brodipet,29.0,Female,,Central PS,Solved
C0209,FIR202400209,2024-07-29,07:55,Theft,Vijayawada,Patamata,47.0,Male,,Central PS,Solved
C0210,FIR202400210,2024-01-16,19:40,Cyber Crime,Kurnool,Budhawarapeta,69.0,Male,,North PS,Solved
C0211,FIR202500211,2025-09-19,06:35,Murder,Vizianagaram,RTC Complex,29.0,Male,Gun,Central PS,Pending
C0212,FIR202500212,2025-12-22,22:05,Assault,Kadapa,YV Street,60.0,Female,Stick,East PS,Pending
C0213,FIR202400213,2024-03-01,22:00,Assault,Anantapur,Sapthagiri Circle,58.0,Female,Stick,West PS,Pending
C0214,FIR202500214,2025-12-07,19:40,Assault,Hyderabad,LB Nagar,38.0,Female,Stick,Central PS,Pending
C0215,FIR202400215,2024-09-23,17:25,Assault,Guntur,Arundelpet,26.0,Male,Stick,East PS,Solved
C0216,FIR202400216,2024-01-10,15:55,Robbery,Kadapa,YV Street,59.0,Female,Knife,West PS,Solved
C0217,FIR202500217,2025-08-26,21:25,Murder,Vizianagaram,RTC Complex,63.0,Female,Gun,West PS,Pending
C0218,FIR202500218,2025-06-24,10:40,Assault,Rajahmundry,Innespeta,38.0,Female,Stick,East PS,Solved
C0219,FIR202500219,2025-09-29,00:55,Cyber Crime,Visakhapatnam,Seethammadhara,29.0,Female,,Central PS,Pending
C0220,FIR202400220,2024-11-01,10:45,Assault,Kadapa,YV Street,24.0,Female,Stick,West PS,Solved
C0221,FIR202400221,2024-01-05,15:20,Cyber Crime,Kakinada,Sarpavaram,22.0,Female,,North PS,Pending
C0222,FIR202500222,2025-09-16,13:50,Theft,Kadapa,YV Street,23.0,Female,,North PS,Solved
C0223,FIR202500223,2025-05-01,02:55,Cyber Crime,Guntur,Arundelpet,40.0,Male,,Central PS,Pending
C0224,FIR202500224,2025-10-05,03:45,Cyber Crime,Rajahmundry,Innespeta,46.0,Male,,South PS,Solved
C0225,FIR202500225,2025-09-01,23:30,Assault,Vijayawada,Gunadala,44.0,Male,Stick,South PS,Solved
C0226,FIR202400226,2024-10-07,19:55,Theft,Rajahmundry,Innespeta,36.0,Male,,South PS,Solved
C0227,FIR202400227,2024-11-03,04:00,Robbery,Nellore,Magunta Layout,55.0,Female,Knife,Central PS,Pending
C0228,FIR202500228,2025-04-27,12:05,Theft,Vizianagaram,RTC Complex,22.0,Male,,West PS,Pending
C0229,FIR202500229,2025-07-15,06:30,Assault,Tirupati,Alipiri,66.0,Female,Stick,East PS,Pending
C0230,FIR202500230,2025-03-22,15:05,Robbery,Tirupati,Bairagipatteda,65.0,Female,Knife,East PS,Pending
C0231,FIR202500231,2025-10-18,16:35,Robbery,Visakhapatnam,Dwaraka Nagar,51.0,Female,Knife,South PS,Solved
C0232,FIR202500232,2025-05-14,18:05,Murder,Kurnool,Nandyal Checkpost,39.0,Female,Gun,Central PS,Pending
C0233,FIR202500233,2025-11-22,22:05,Theft,Hyderabad,Ameerpet,37.0,Male,,North PS,Solved
C0234,FIR202500234,2025-12-27,06:55,Robbery,Anantapur,Sapthagiri Circle,47.0,Male,Knife,East PS,Pending
C0235,FIR202500235,2025-01-13,14:10,Theft,Kadapa,YV Street,22.0,Male,,North PS,Solved
